timestamp,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,mid,width,sma_20,sma_50,sma_cross,target
2024-05-29,68398.4,68935.68,67124.65,67652.42,23159.83149,53.245408818291565,1309.6966375896154,1246.4347506257873,63.26188696382815,72904.27452357419,60080.6414764258,66492.458,19.285845993463482,66492.458,64954.314399999996,1538.143600000003,1
2024-05-30,67652.41,69500.0,67128.0,68352.17,28478.2184,55.13702088776503,1245.0532041135593,1246.1584413233418,-1.1052372097824446,72765.14157652906,60974.99242347097,66870.06700000001,17.631430148048285,66870.06700000001,64908.7362,1961.3308000000106,0
2024-05-31,68352.17,69044.1,66670.0,67540.01,26690.32184,52.48296800555288,1115.43030661394,1220.0128143814616,-104.58250776752152,72410.06574181867,62001.47025818132,67205.768,15.487652017662171,67205.768,64859.41180000001,2346.3561999999874,1
2024-06-01,67540.01,67900.0,67428.44,67766.85,8837.66133,53.161133020810446,1019.2579475288949,1179.8618410109484,-160.60389348205354,72014.92886354525,63024.89313645473,67519.911,13.31464392346507,67519.911,64872.418399999995,2647.4925999999978,0
2024-06-02,67766.84,68460.0,67257.47,67765.63,15426.32529,53.15673892743756,932.1964360231796,1130.3287600133947,-198.13232399021513,71734.78025472845,63787.59674527155,67761.1885,11.728223316887222,67761.1885,64949.2408,2811.9477000000043,1
2024-06-03,67765.62,70288.0,67612.48,68809.9,29633.374,56.47316127871517,936.6661186210113,1091.596231734918,-154.93011311390683,70922.57463723302,65323.04336276697,68122.809,8.219759808298639,68122.809,65012.202000000005,3110.606999999989,1
2024-06-04,68809.89,71063.45,68567.32,70537.84,29619.78489,61.34934549477447,1067.3351164555352,1086.7440086790416,-19.408892223506427,71182.4569821338,65496.29501786622,68339.376,8.320476856955164,68339.376,65154.558999999994,3184.81700000001,1
2024-06-05,70537.83,71758.0,70383.66,71108.0,28703.18082,62.82906446251419,1203.030597762292,1110.0013264956917,93.02927126660029,71343.01537208373,65923.01562791629,68633.01550000001,7.8970735945114265,68633.01550000001,65300.851200000005,3332.164300000004,0
2024-06-06,71108.0,71700.0,70117.64,70799.06,21842.00449,61.45613040203947,1270.9901845665881,1142.199098109871,128.79108645671704,71582.59303372279,66060.94396627719,68821.76849999999,8.02311417999321,68821.76849999999,65491.285,3330.4834999999875,0
2024-06-07,70799.06,71997.02,68420.0,69355.6,35598.45045,55.368261793043374,1194.602850187439,1152.6798485253848,41.92300166205405,71569.16297032716,66318.41402967283,68943.7885,7.6159855077507554,68943.7885,65608.9954,3334.7930999999953,0
2024-06-08,69355.6,69582.2,69168.02,69310.46,9773.82967,55.1841608611153,1117.5406041617534,1145.6519996526586,-28.111395490905124,71419.77471484253,66771.44728515748,69095.611,6.727384507367687,69095.611,65718.8444,3376.7666000000027,1
2024-06-09,69310.46,69857.14,69130.24,69648.14,9890.56709,56.35332301733653,1071.366131017261,1130.794825925579,-59.42869490831799,71085.35059439181,66926.0234056082,69005.687,6.027513629106563,69005.687,65812.9954,3192.6916000000056,0
2024-06-10,69648.15,70195.94,69172.29,69540.0,17122.66941,55.85082022212352,1014.3536961488862,1107.5065999702406,-93.15290382135436,71004.37492360416,66946.16507639585,68975.27,5.883572253081889,68975.27,65904.9724,3070.2976000000053,0
2024-06-11,69540.0,69590.01,66051.0,67314.24,41436.01588,46.63369600906943,780.5727435181179,1042.119828679816,-261.5470851616981,71033.79833154907,66731.50366845093,68882.651,6.245832006520984,68882.651,65914.8708,2967.780199999994,1
2024-06-12,67314.23,69999.0,66905.0,68263.99,37175.32356,50.395551935957364,664.2791453769896,966.5516920192508,-302.2725466422612,71027.25123695424,66767.48476304577,68897.368,6.182770978868847,68897.368,65951.87060000001,2945.497399999993,0
2024-06-13,68263.98,68449.3,66251.78,66773.01,29079.55571,45.029229676404135,446.6572192507301,862.5727974655467,-415.9155782148166,71128.70673191108,66488.33126808892,68808.519,6.743896731481981,68808.519,66001.53899999999,2806.9800000000105,0
2024-06-14,66773.01,67370.24,65078.0,66043.99,28408.18797,42.63845674845833,212.9101578213158,732.6402695367005,-519.7301117153847,71246.17418829707,66046.20581170294,68646.19,7.575028383358391,68646.19,66032.452,2613.7379999999976,1
2024-06-15,66043.99,66478.48,65857.1,66228.25,11451.80242,43.45562136850627,42.04747256670089,594.5217101427006,-552.4742375759997,71338.17862812562,65726.2593718744,68532.21900000001,8.188731283093603,68532.21900000001,66081.6168,2450.6022000000085,1
2024-06-16,66228.25,66998.7,66034.5,66676.87,9392.52223,45.49165059030726,-56.51112667913549,464.31514277833344,-520.8262694574689,71279.06373226465,65509.41826773537,68394.24100000001,8.435864453162486,68394.24100000001,66145.9146,2248.3264000000054,0
2024-06-17,66676.86,67298.81,65130.0,66504.33,27386.16851,44.823163656346935,-146.8492756417836,342.08225909431,-488.9315347360936,71299.65080429567,65299.42519570432,68299.538,8.785162805334565,68299.538,66213.6288,2085.9091999999946,0
2024-06-18,66504.33,66588.23,64060.0,65175.32,42350.10244,39.95309788958858,-321.97142339721904,209.2715225960042,-531.2429459932232,71463.19146014408,64888.17453985592,68175.683,9.644225962926045,68175.683,66239.81520000001,1935.8677999999927,0
2024-06-19,65175.32,65727.54,64666.0,64974.37,20060.79576,39.258536133186325,-471.5363947338483,73.1099391300337,-544.646333863882,71575.69591261599,64437.89008738399,68006.79299999999,10.495724780364228,68006.79299999999,66325.8626,1680.9303999999975,0
2024-06-20,64974.37,66482.94,64559.15,64869.99,24265.29031,38.88043714778243,-591.669903390939,-59.84602937416084,-531.8238740167782,71692.99189266421,64053.59210733578,67873.292,11.25538420226977,67873.292,66455.963,1417.328999999998,0
2024-06-21,64869.99,65066.66,63379.35,64143.56,25993.56442,36.26288734644688,-736.9977531548502,-195.27637413029873,-541.7213790245514,71844.08356242048,63540.171437579535,67692.1275,12.267175566081805,67692.1275,66557.622,1134.5054999999993,1
2024-06-22,64143.56,64546.81,63943.82,64262.01,7308.95542,37.007581719708845,-833.0107664667012,-322.82325259757926,-510.1875138691219,71929.20740598527,63104.68559401471,67516.94649999999,13.07008428168559,67516.94649999999,66585.222,931.7244999999966,0
2024-06-23,64262.01,64521.0,63178.32,63210.01,8224.45447,33.287656063573024,-982.6618650276359,-454.79097508359064,-527.8708899440453,71983.53532642957,62490.36867357044,67236.952,14.118972336609087,67236.952,66571.5814,665.3706000000093,0
2024-06-24,63210.01,63369.8,58402.0,60293.3,52161.35414,25.603378762095858,-1321.383473700429,-628.1094748069584,-693.2739988934707,72104.70971915445,61344.740280845566,66724.725,16.125910505152145,66724.725,66497.2074,227.5176000000065,1
2024-06-25,60293.3,62420.0,60257.06,61806.01,31189.24361,34.10010536109853,-1451.0331275187054,-792.6942053493078,-658.3389221693976,71651.75837149475,60867.492628505235,66259.6255,16.275772254386677,66259.6255,66470.0238,-210.39830000000075,0
2024-06-26,61806.01,62487.81,60712.0,60864.99,22485.66463,31.676491829469626,-1611.1416240712715,-956.3836890937007,-654.7579349775708,71220.70220405911,60305.1417959409,65762.922,16.598350675656125,65762.922,66441.082,-678.1599999999889,1
2024-06-27,60864.98,62389.22,60606.63,61706.47,18344.28631,36.05328019668344,-1651.0955558538117,-1095.326062445723,-555.7694934080887,70849.63055342219,59911.300446577814,65380.465500000006,16.730272602363737,65380.465500000006,66451.3508,-1070.8852999999945,0
2024-06-28,61706.46,62225.31,60063.0,60427.84,24821.19255,32.63252607831964,-1765.5815644486356,-1229.3771628463055,-536.2044016023301,70498.66184703511,59374.007152964885,64936.3345,17.131633283166337,64936.3345,66398.4274,-1462.0929000000033,1
2024-06-29,60427.84,61224.0,60383.77,60986.68,11509.55904,35.512445013865445,-1790.5781630406127,-1341.617362885167,-448.96080015544567,69876.25029043749,59130.27270956252,64503.2615,16.659587951029362,64503.2615,66402.1612,-1898.8997000000018,1
2024-06-30,60986.68,63058.76,60712.21,62772.01,17326.30136,43.780986722503705,-1647.3374563757388,-1402.7613815832815,-244.57607479245735,69057.37168967257,59272.35231032744,64164.862,15.249809746875362,64164.862,66441.0816,-2276.219600000004,1
2024-07-01,62772.01,63861.76,62497.2,62899.99,24547.10538,44.33200609481036,-1506.1295243006898,-1423.4350101267632,-82.69451417392656,68642.87899964296,59245.420000357044,63944.1495,14.696354666951839,63944.1495,66469.4016,-2525.252099999998,0
2024-07-02,62900.0,63288.83,61806.28,62135.47,18573.11875,41.70248298873578,-1439.3200102897463,-1426.6120101593601,-12.708000130386154,67953.3383176786,59322.10868232141,63637.7235,13.563071022421463,63637.7235,66453.3094,-2815.585899999998,0
2024-07-03,62135.46,62285.94,59400.0,60208.58,32160.11127,35.91960631814975,-1524.285889508632,-1446.1467860292146,-78.13910347941737,67619.88650531042,58999.11749468958,63309.502,13.616864354138889,63309.502,66425.9312,-3116.429200000006,0
2024-07-04,60208.57,60498.19,56771.0,57050.01,54568.77276,28.85587030379064,-1825.4495169364382,-1522.0073322106593,-303.4421847257788,67770.12487503022,57949.48112496978,62859.803,15.623090244270152,62859.803,66242.80140000001,-3382.9984000000113,0
2024-07-05,57050.02,57546.0,53485.93,56628.79,81348.24756,28.063287582734375,-2074.2026778335858,-1632.4464013352447,-441.7562764983411,67735.72228386423,57023.937716135755,62379.829999999994,17.17187201011686,62379.829999999994,66070.67300000001,-3690.8430000000153,1
2024-07-06,56628.79,58475.0,56018.0,58230.13,21651.31558,35.33503403595725,-2117.714895883102,-1729.5001002448164,-388.21479563828575,67222.77546685404,56692.21053314595,61957.493,16.996434852049436,61957.493,65894.79560000001,-3937.30260000001,0
